Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
Tari_Eason,HOU,22,21.8,9.8,7,1.2,1.4,0.9,0.9,46.6,36,63.6
Nate_Williams,HOU,22,5.9,2.9,1,0.3,0.2,0,0.2,54,40,53.8
Jermaine_Samuels_Jr.,HOU,14,4.3,1.4,0.9,0.2,0.1,0.1,0,64.3,0,100
Cam_Whitmore,HOU,47,18.7,12.3,3.8,0.7,0.6,0.4,1,45.4,35.9,67.9
Amen_Thompson,HOU,62,22.4,9.5,6.6,2.6,1.3,0.6,1.5,53.6,13.8,68.4
James_Johnson,IND,9,5.2,0.9,0.4,0.9,0.6,0.1,0.6,30,0,100
Doug_McDermott,IND,18,11.3,4.2,0.6,0.7,0.3,0,0.2,40.6,32.1,50
Myles_Turner,IND,77,27,17.1,6.9,1.3,0.5,1.9,1.4,52.4,35.8,77.3
T.J._McConnell,IND,71,18.2,10.2,2.7,5.5,1,0.1,1.5,55.6,40.9,79
Buddy_Hield,IND,52,25.7,12,3.2,2.7,0.8,0.6,1.2,44.3,38.4,84.8
Pascal_Siakam,IND,41,31.8,21.3,7.8,3.7,0.8,0.4,1.4,54.9,38.6,69.9
Daniel_Theis,IND,1,8,2,0,0,0,0,0,25,0,0
Bruce_Brown,IND,33,29.7,12.1,4.7,3,1.1,0.2,1.2,47.5,32.7,81.7
Obi_Toppin,IND,82,21.1,10.3,3.9,1.6,0.6,0.5,0.8,57.3,40.3,77
Aaron_Nesmith,IND,72,27.7,12.2,3.8,1.5,0.9,0.7,0.9,49.6,41.9,78.1
Jordan_Nwora,IND,18,10.2,5.2,1.8,1,0.3,0.1,0.7,45.1,30.6,81.8
Jalen_Smith,IND,61,17.2,9.9,5.5,1,0.3,0.6,0.7,59.2,42.4,69.2
Tyrese_Haliburton,IND,69,32.2,20.1,3.9,10.9,1.2,0.7,2.3,47.7,36.4,85.5
Isaiah_Jackson,IND,60,12.9,6.4,4,0.8,0.6,1,0.7,66.5,0,71.6
Andrew_Nembhard,IND,68,25,9.2,2.1,4.1,0.9,0.1,1.5,49.8,35.7,80.4
Kendall_Brown,IND,15,4.2,1.4,0.3,0.3,0,0,0.1,53.3,0,62.5
Bennedict_Mathurin,IND,59,26.1,14.5,4,2,0.6,0.2,1.6,44.6,37.4,82.1
Quenton_Jackson,IND,3,3.7,0.7,1.3,0.7,0.3,0,0,0,100,100
Ben_Sheppard,IND,57,14.3,4.4,1.6,0.9,0.6,0,0.3,39.3,31.4,88.5
Jarace_Walker,IND,33,10.3,3.6,1.9,1.2,0.5,0.3,0.5,40.9,40,88.9
Isaiah_Wong,IND,1,4,2,0,0,0,0,0,33.3,0,0
Oscar_Tshiebwe,IND,8,5.3,3.3,2,0.3,0.3,0.1,0,50,0,75
Nicolas_Batum,LAC,3,18,2.7,2.3,1.7,1,1.3,0.3,1,37.5,28.6
Paul_George,LAC,74,33.8,22.6,5.2,3.5,1.5,0.5,2.1,47.1,41.3,90.7
James_Harden,LAC,72,34.3,16.6,5.1,8.5,1.1,0.8,2.6,42.8,38.1,87.8
Kawhi_Leonard,LAC,68,34.3,23.7,6.1,3.6,1.6,0.9,1.8,52.5,41.7,88.5
Mason_Plumlee,LAC,46,14.7,5.3,5.1,1.2,0.3,0.4,0.8,56.9,0,70.7
P.J._Tucker,LAC,28,15,1.6,2.5,0.6,0.5,0.2,0.2,35.6,36.7,100
Russell_Westbrook,LAC,68,22.5,11.1,5,4.5,1.1,0.3,2.1,45.4,27.3,68.8
Robert_Covington,LAC,3,23,3,2.7,2.3,2,0.7,0,33.3,25,50
Norman_Powell,LAC,76,26.2,13.9,2.6,1.1,0.6,0.3,0.9,48.6,43.5,83.1
Ivica_Zubac,LAC,68,26.4,11.7,9.2,1.4,0.3,1.2,1.2,64.9,0,72.3
Daniel_Theis,LAC,59,17.1,6.3,4.1,1,0.4,0.9,0.7,53.6,37.1,76
Terance_Mann,LAC,75,25,8.8,3.4,1.6,0.6,0.2,0.6,51.5,34.8,83.2
Amir_Coffey,LAC,70,20.9,6.6,2.1,1.1,0.6,0.2,0.5,47.2,38,85.9
KJ_Martin,LAC,2,15.5,5,1.5,0.5,1,0.5,1,40,20,50
Brandon_Boston_Jr.,LAC,32,10.8,5.2,1.6,0.4,0.3,0.3,0.8,40.4,26.9,69.7
Bones_Hyland,LAC,37,14.6,6.9,1.5,2.5,0.7,0.1,1.2,38.6,32.6,78.3
Joshua_Primo,LAC,2,5,1,0.5,0,0,0.5,2,33.3,0
Xavier_Moon,LAC,14,8.5,2.4,1.3,1.5,0.2,0.2,0.4,32.6,11.8,50
Moussa_Diabate,LAC,11,5.8,2.6,2.2,0.4,0.5,0.1,0.2,52.6,0,64.3
